name,url,fee_pct,fee_note,custody,kyc,coins,settlement_fiat,lightning,founded,notable,verified,source_url,study_cohort
0xProcessing,https://0xprocessing.com,1,custom volume-based; unpublished,custodial,required,85,true,false,2021,85+ coins on 18 chains; volatility protection,false,https://0xprocessing.com,true
Alchemy Pay,https://alchemypay.org,1,custom; reported ~0.8-2.5%,custodial,required,5,true,false,2017,Hybrid fiat-crypto ramp network across 173 countries,false,https://alchemypay.org,true
ALFAcoins,https://www.alfacoins.com,0.99,0.99% per transaction,custodial,optional,10,false,false,2013,Veteran processor; fiat-pegged settlements paid in crypto,true,https://www.alfacoins.com/merchant,true
ATLOS,https://atlos.io,0,0% transaction fees; on-chain network costs only,non-custodial,none,11,false,false,2023,"Permissionless no-KYC gateway, direct to Web3 wallet, 11 chains incl. Monero",false,https://atlos.io/,false
Aurpay,https://aurpay.net,0.8,"0.8% per transaction, to 0.5% at volume",non-custodial,optional,8,false,true,2021,"Non-custodial, stablecoin settlement, Lightning support",true,https://aurpay.net/aurspace/crypto-payment-gateway-fees-compared-2026/,false
B2BinPay,https://b2binpay.com,0.4,from 0.4%; 0.05% enterprise,custodial,required,300,true,false,2017,"Enterprise processor for brokers, exchanges, iGaming",true,https://b2binpay.com,true
Binance Pay,https://pay.binance.com,0,0% payments; 0.8% payouts (cap $5),custodial,required,100,true,false,2021,Zero-fee payments inside the Binance ecosystem,true,https://pay.binance.com,true
Bit2Me Commerce,https://bit2me.com/suite/commerce,1.95,1.95% per transaction; custom at volume,custodial,required,50,true,false,2014,"Spanish exchange gateway, auto EUR to bank",true,https://support.bit2me.com/en/support/solutions/articles/35000201787,false
Bitcart,https://bitcart.ai,0,"free open source, 0% fees",self-hosted,none,50,false,true,2019,Open-source BTCPay alternative; 50+ coins incl. Monero,true,https://bitcart.ai/,true
Bitget Pay,https://www.bitget.com,0,No stated merchant fee; real-time crypto-to-fiat,custodial,required,3,true,false,2024,USDT QR Scan to Pay across SE Asia and LatAm,false,https://www.bitget.com/blog/articles/bitget-scan-to-pay-usdt-qr-payments,false
Bitnovo Pay,https://www.bitnovo.com/en/pay,1,Below 1% per transaction,custodial,required,6,true,false,2015,"Valencia-based, price locked at transaction, EUR settlement",false,https://www.bitnovo.com/en/pay,false
Bitpace,https://www.bitpace.com,1,unpublished; ~0.5-1% custom,custodial,required,70,true,false,2016,EU/UK-licensed gateway popular in iGaming,false,https://www.bitpace.com,true
BitPay,https://bitpay.com,2,2% + $0.25; 1% + $0.25 at $1M+/mo,custodial,required,20,true,true,2011,Oldest major crypto processor; daily fiat bank settlements,true,https://bitpay.com/pricing,true
BlockBee,https://blockbee.io,1,"1% standard, to 0.25% with volume",non-custodial,none,70,false,false,2018,Formerly CryptAPI; payment forwarding to your wallet,true,https://blockbee.io/fees/,true
Blockonomics,https://www.blockonomics.co,1,1% per transaction; first 20 free,non-custodial,none,3,false,false,2015,Direct-to-wallet Bitcoin payments with no KYC,true,https://www.blockonomics.co,true
BoomFi,https://www.boomfi.xyz,1,1% + $0.25 crypto; 2% + $0.25 to fiat,non-custodial,required,10,true,false,2022,Non-custodial gateway with subscriptions and off-ramp,true,https://docs.boomfi.xyz/docs/pricing-and-fees,true
BTCPay Server,https://btcpayserver.org,0,0% fees; you pay your own hosting,self-hosted,none,1,false,true,2017,Free open-source self-hosted processor; altcoins via plugins,true,https://btcpayserver.org/,true
BVNK,https://www.bvnk.com/payments,1,1% transaction fee; platform/min fees may apply,custodial,required,10,true,false,2021,"Stablecoin acceptance infra, acquired by Mastercard 2026",true,https://docs.bvnk.com/bvnk/get-started/charge-customer-fees/,false
Bybit Pay,https://www.bybit.com/en/bybitpay/,0,No base fee; 1% conversion when swapping to USDT,custodial,required,100,true,false,2024,"Exchange-backed merchant payments, zero base fee",true,https://www.bybit.com/en/help-center/article/FAQ-Bybit-Pay,false
Coinbase Commerce,https://www.coinbase.com/commerce,1,1% per transaction,hybrid,required,10,true,false,2018,"Shut down March 2026; successor Coinbase Business is custodial, US/SG only",true,https://www.coinbase.com/commerce,true
Coinbase Payments,https://www.coinbase.com/payments,0,no gateway fee; USDC on Base via Shopify,hybrid,required,1,true,false,2025,Onchain USDC for Shopify merchants; distinct from Commerce,true,https://www.coinbase.com/payments,true
CoinGate,https://coingate.com,1,1% per transaction,custodial,required,70,true,true,2014,EU-based gateway; Lightning enabled by default,true,https://www.coingate.com/pricing,true
Coinify,https://www.coinify.com,0,No merchant processing fee; margin on customer rate,custodial,required,20,true,false,2014,"Danish processor, weekly EUR/BTC payouts",true,https://help.coinify.com/hc/en-us/articles/360014078380-Merchant-fees,false
CoinPayments,https://www.coinpayments.net,0.5,"0.5% coins, 1% tokens, plus network fees",custodial,required,100,true,false,2013,Veteran multi-coin processor operating since 2013,true,https://www.coinpayments.net/help-fees,true
CoinRemitter,https://coinremitter.com,0.23,0.23% on withdrawal only,custodial,none,13,false,false,2018,No-KYC gateway with a 0.23% headline fee,true,https://coinremitter.com/fees,true
CoinsBuy,https://coinsbuy.com,1,From ~1% per transaction; enterprise volume pricing,custodial,required,40,true,true,2019,"Panama-based enterprise processor, USDT on 9 chains",false,https://www.crunchbase.com/organization/coinsbuy,false
CoinsPaid,https://coinspaid.com,0.8,~0.8% typical; quoted per merchant,custodial,required,20,true,false,2014,High-volume processor favored by iGaming merchants,false,https://coinspaid.com,true
Confirmo,https://confirmo.com,0.8,0.8% invoicing; 0.5% payouts,custodial,required,10,true,true,2014,MiCA-licensed stablecoin-first EU gateway,true,https://confirmo.com,true
Copperx,https://copperx.io,0.5,~0.5% per transaction,custodial,required,5,true,false,2022,Stablecoin-first; settles to 50+ fiat currencies,true,https://copperx.io/pricing,true
Cryptadium,https://cryptadium.com,0.9,"Below 0.9%, down to 0.7% for high volume",custodial,required,50,true,false,2022,"Enterprise e-commerce focus, volume discounts",false,https://cryptadium.com/blog/1091,false
Crypto.com Pay,https://crypto.com/pay-merchant,0.5,Zero tx fee; 0.5% settlement fee,custodial,required,20,true,false,2019,"Shopify-integrated acceptance, multi-fiat settlement",true,https://crypto.com/en/pay-merchant,false
CryptoChill,https://cryptochill.com,1,Flat 1% on incoming transactions,custodial,optional,20,false,true,2018,"Gateway + custodial wallets, API, Lightning",false,https://cryptochill.com,false
Cryptomus,https://cryptomus.com,2,2% standard; negotiable to 0.4%,custodial,required,120,false,false,2022,Negotiable fees; popular with high-risk and SaaS merchants,true,https://cryptomus.com/fees/payment,true
Cryptopay Business,https://cryptopay.me/business,1,Per-transaction fee quoted on signup,custodial,required,19,true,false,2013,"London-based, next-day bank settlement",false,https://cryptopay.me/business/,false
DePay,https://depay.com,1.5,1.5% flat; 0% self-hosted open source,non-custodial,none,1000,false,false,2020,Web3 payments with on-the-fly token conversion,true,https://depay.com/pricing,true
DV.net,https://dv.net,0,0% commission; on-chain network fees only,self-hosted,none,50,false,false,2023,"Open-source self-hosted, merchant owns wallets and seed",true,https://github.com/dv-net/dv-merchant,false
EukaPay,https://eukapay.com,1,Custom pricing at onboarding; ~1% typical,custodial,required,20,true,true,2021,"Canadian FINTRAC MSB, multi-fiat settlement, Lightning",false,https://eukapay.com/products/crypto-payment-gateway,false
Finrax,https://finrax.com,1,"Low processing fee, mid-market rates",custodial,required,50,true,false,2018,"Estonia-licensed B2B gateway, hosted checkout + API",false,https://finrax.com/,false
Flexa,https://flexa.co,1,1% per payment,custodial,required,99,true,true,2019,In-store crypto acceptance network across 13 chains,true,https://flexa.co/payments,true
Gate Pay,https://www.gate.com/pay,0,Advertised low/zero; tiers unpublished,custodial,required,300,true,false,2021,"Gate.io exchange merchant acceptance, 300+ coins",false,https://www.gate.com/pay,false
GoCrypto,https://gocrypto.com,0.9,~0.9% merchant fee; POS and online via Eligma,custodial,required,50,true,false,2017,Slovenian POS-focused crypto acceptance,false,https://gocrypto.com,false
GoUrl,https://gourl.io,1.5,1.5% on website payments,non-custodial,none,10,false,false,2014,"Open-source, direct-to-wallet, WordPress plugin",true,https://gourl.io/,false
Helio (MoonPay),https://www.hel.io,2,2% standard; 1% with HelioX,non-custodial,optional,100,false,false,2022,Solana checkout leader; acquired by MoonPay,true,https://www.hel.io/pricing,true
HoodPay,https://hoodpay.io,1,1% + $0.10; 0.25% direct wallet,hybrid,none,20,false,false,2022,No-KYC checkout favored by digital-goods sellers,true,https://hoodpay.io,true
IVPAY (ex-ivendPay),https://ivpay.io,1,0.2-1% by volume,custodial,required,40,true,false,2018,Crypto POS and vending-machine payments,false,https://ivpay.io/,true
Kraken Pay,https://blog.kraken.com/product/kraken-pay,0,Free peer/paylink; conversion at market rate,custodial,required,300,true,false,2025,"Paylinks and Kraktag payments, 300+ assets",true,https://blog.kraken.com/product/kraken-pay,false
KuCoin Pay,https://www.kucoin.com/pay,0,"Off-chain zero gas, minimal on-chain, instant settle",custodial,required,50,true,false,2025,"Exchange merchant tool, off-chain internal settlement",false,https://www.kucoin.com/pay,false
Loop Crypto,https://www.loopcrypto.xyz,1,1% per transaction,non-custodial,optional,10,true,false,2021,Crypto autopay subscriptions with Stripe integration,true,https://www.loopcrypto.xyz,true
MaxelPay,https://www.maxelpay.com,0.4,"0.4% per transaction, no monthly fee",non-custodial,none,300,false,false,2023,"No-KYC, own payout wallet, white-label",true,https://www.maxelpay.com/,false
Mercuryo,https://mercuryo.io,1,~1% acceptance; ramp fees higher,custodial,required,40,true,false,2018,On/off-ramp infrastructure embedded in major web3 wallets,false,https://mercuryo.io,true
MyCryptoCheckout,https://mycryptocheckout.com,0,0% fees; $49/yr unlimited plan,non-custodial,none,100,false,false,2017,"WordPress plugin, direct wallet-to-wallet payments",true,https://mycryptocheckout.com,true
NOWPayments,https://nowpayments.io,0.5,0.5% per transaction; volume discounts,non-custodial,optional,350,true,false,2019,Auto-forwarding with 350+ supported currencies,true,https://nowpayments.io/pricing,true
